id,类别,状态,内容,首次出现,后续处理
C001,世界观,正史,北砾洲偏远贫瘠寒季漫长灵机稀薄普通人很难接触真正修行,第一章,第一卷通过探路队外来势力和后续修仙秩序继续展开
C002,主角,正史,陈砺十五岁寒脊村孤儿父母早亡靠断脊山打猎剥皮换粮活着并靠兽皮柴和猎物回报岑婶帮衬,第一章,后续保持不卖惨靠行动回报邻里
C003,邻里,正史,岑婶陆伯和岑良长期帮衬陈砺岑婶会给陈砺备进山吃食补皮绳也会给他备一份薄晒菇见礼但陈砺会以兽皮劈柴猎物回报并把自己的晒菇并给岑良,第一章,第四到六章用断粮和探路风险推进邻里牵挂
C004,地图,正史,寒脊村位于断脊山南麓村民靠冻薯兽皮山柴薄田过活,第一章,天辉后猎路危险和外来人的入山赏成为村庄生计压力
C012,地图,正史,断牙松是寒脊村猎户默认不该越过的深山边界内侧风从地缝上冒雪下多空洞且旧夹旧绳显示曾有人失手,第二章,后续探路队入山时可作为猎户红线与陈砺越界幸存证据
C005,异象,正史,天辉是七彩神光砸落断脊山后形成的异象与残质源头暂不锁死为生灵或物品凡人暂不知真相,第二章,第一卷只通过残雾异化低鸣血色暗影和修士忌惮揭露
C006,身体变化,正史,陈砺在天辉边缘被七彩光雾擦过身体鹿血和伤口残留的一丝光意缩入血肉后五感体魄恢复力筋骨承载力增强重病初醒阶段会饥饿发冷昏睡,第二章,第三到十章逐步表现醒身危感铸身拓脉伏笔和暴露风险
C007,异化,正史,天辉落山后草木疯长山兽异变普通小兽可能长骨刺鳞片异眼并互相攻击多数生灵承受不住会爆裂或发狂,第二章,后续分层展示异化兽和异化草木
C013,金手指,内部暂定,天辉落点深处残留石胎外人前期可称曜光石真实层级暂称七曜残种七色大半已散前期只剩紫辉第二章陈砺只留同源光意尚未得到本体,第二章,后续带路剧情中由低阶修士先取得曜光石再因与陈砺体内光意感应转入陈砺气海雏形
C014,紫辉,内部暂定,紫辉主铸身拓脉不主攻击不主寻宝可强健筋骨血肉脏腑承载力并为九正脉外五承脉埋伏笔,第三章,前期只写重病后恢复怪筋骨承压食量变化导引异常不直接解释十四脉
C015,救援,正史,天辉落山后三日内有几个猎户见山中彩光转淡壮胆到山口探看在断牙松外雪沟里看见陈砺旧弓梢并将他送回自己旧屋由岑婶照料周大夫诊治,第三章,后续探路入山时可回扣陈砺被发现位置和越过断牙松的证据
C008,修仙势力,正史,天辉后数日三名会仙术的外来人抵达寒脊村为首自号云仙道人有两辆青帷车四头青角驮兽淡金纹衣摆和符火小术,第四章,第五章展开他们悬赏村民进山带路
C009,风险,正史,低阶散修也忌惮断脊山异变不敢自己先入深处便以粮盐铜钱雇熟山路的村民带路实际拿凡人探路,第四章,后续由探路队入山和散修真实目的推进
C010,能力限制,正史,陈砺身体变化不能直接变强解决问题每次使用或恢复都伴随饥饿发冷疼痛和暴露风险,第三章,全卷持续审计
C011,修仙入口,正史,寒脊村旧晒场来过真假难辨的游方仙师称能看灵根但要各家备礼陈砺羡慕修仙岑婶也给他备了薄礼但他因断粮且不愿削薄岑良机会把自己的晒菇并给岑良后选择进山,第一章,后续可作为陈砺对真正修仙门槛的向往和警惕
C016,身体变化,正史,陈砺醒后三日内恢复异常第二日能下床第三日伤口硬痂发紧听觉更清楚一只手托起湿木但随后伤口发热四肢发冷饭量明显增大,第四章,第五章以饭量和腕口牵引推动陈砺冒险跟上探路队
C017,邻里,正史,岑婶看见陈砺力气异常后先让岑良闭嘴并提醒陈砺装作还烧着显示她既心疼也懂得避险,第四章,第五章阻拦陈砺和岑良去给散修带路但无法彻底拦住陈砺
C018,资源,正史,云仙道人给带路人摆出粮袋盐罐安家钱碎银和伤药并承诺带到山中异变最重的地界后另有重赏,第五章,后续作为寒脊村贫户冒险入山的现实诱因
C019,主角选择,正史,陈砺当着岑婶说不去但夜里因身体饭量山中落物牵引和对山路危险的判断天亮前背旧弓跟上探路队随后被青角驮兽和铜铃察觉由云仙道人补名并排到带路人前头,第五章,第六章承接陈砺已站到前头并越过断牙松后的第一处危险
C020,异化,正史,探路队到断牙松外时松根下露出半只雪兔兔皮仍白脊背却顶出三根细白骨刺青角驮兽后退铜铃自响陈砺腕口新痂同时发烫,第五章,第六章直接承接异化雪兔和断牙松内侧山声
C021,探路队,正史,青帷车和四头青角驮兽留在断牙松外背风处不进深山原本七八名带路村人因骨刺雪兔伤人退走一批最后只剩李家老三周河赵石和陈砺四个凡人继续,第六章,后续通过站位伤亡和退路压力继续体现散修利用村民探路
C022,身体变化,正史,陈砺越过断牙松后腕口持续发烫饥饿发冷听觉嗅觉变清但只能辅助判断不能主导队伍也无法阻止周河受伤,第六章,第七到十章继续以听觉嗅觉和身体代价推动避险与暴露风险
C023,异化,正史,断牙松内出现温水滴落青叶血心灰白小花细白草根黑水沟暗绿苔皮鹿腿骨和甜腥冰溪雾说明异变已经扩展到草木山路尸骨和地形,第六章,后续逐步分层展示异草异兽残雾与地形危险
C024,旧物回扣,正史,冰溪雾中出现强大变异灰角鹿肩后仍插着陈砺当日射出的铁箭箭尾灰麻线由陈砺亲手缠过且变异灰角鹿最后盯住陈砺,第六章,第七章承接变异灰角鹿正面冲突和云仙道人护人承诺
