id,伏笔,埋设位置,预计兑现,状态
F001,旧晒场游方人看灵根与陈砺进山错开且疑似有人让白石亮起,第一章,第一卷中段陈砺重新面对真正修行门槛,未兑现
F002,陈砺错过旧晒场白石看灵根并把自己的晒菇并给岑良,第一章,第一卷中段陈砺重新面对真正修行门槛时回扣这次让出机会,未兑现
F003,天穹中七彩光里夹着血色暗影且山岭深处传来不似雷风的低鸣,第二章,第一卷后半揭露天辉源头可向生灵器物残骸封印等方向保留,未兑现
F004,天辉边缘的一丝七彩光意经鹿血和伤口缩入陈砺血肉没有散去,第二章,第三到十章身体变化和验身风险,未兑现
F011,断牙松内侧旧绳锈夹与被咬坏的铁齿显示深山边界早有异常失踪和危险,第二章,探路队越过猎户红线时回扣,未兑现
F012,曜光石只余紫辉且暂未归陈砺第二章只留下同源光意,第二章,后续低阶修士取得曜光石后与陈砺体内光意感应并转入陈砺气海雏形,未兑现
F013,紫辉铸身拓脉前期表现为恢复怪筋骨承压导引异常,第三章,第一卷中后段开脉时回收为九正脉外五承脉十四脉根基,未兑现
F005,陈砺醒后能听清门帘外药碗碰盆岑良塞柴屋檐落雪和灶膛火星等近处细声音,第三章,第六章只表现为感知变清和判断不安第七到十章再逐步形成可用避险能力,未兑现
F006,陈砺三日未进实食却能让旧木床沿先承不住显示筋骨手劲异常,第三章,第四第五章通过托湿木和遮掩伤势继续兑现,部分兑现
F007,山中彩雾留下的伤口热意没有散去且周大夫发现陈砺恢复过快提醒别外传,第三章,第七到十章带路和导引触动残质,未兑现
F008,三名会仙术的外来人抵达寒脊村为首云仙道人有两辆青帷车四头青角驮兽淡金纹衣摆和符火小术,第四章,第一卷先以外来道人入村再引出更正规修仙势力,部分埋设
F009,云仙道人承诺带路人只需认路若遇变异凶兽会由他和两名同道出手,第五章,第六到八章探路队入山后检验承诺真假,未兑现
F010,低阶符火能烧异化兽皮肉也能处理部分异草但骨刺和异化活物本身难缠不等于仙术一出万事平,第五章,第六到十章通过骨刺雪兔异草和后续异化兽持续体现变异生物不好对付,部分兑现
F014,陈砺腕口新痂被断脊山方向牵动发热并在断牙松外异化雪兔出现时与铜铃同刻发烫,第四章,第六章入山后体内光意继续与山中残质呼应,未兑现
F015,粮袋盐罐安家钱碎银和伤药把村民推向入山风险,第五章,后续体现修仙资源和凡人生计之间的残酷交换,未兑现
F016,云仙道人发现陈砺跟队后没有赶走而是补名并让认路的人站前头,第五章,第六到八章通过站位和命令逐步显出散修拿凡人试路的本质,未兑现
F017,断牙松外雪兔死后仍从脊背顶出细白骨刺且青角驮兽后退铜铃自响,第五章,第六章作为探路队入山第一处异化风险的入口,部分兑现
F018,云仙道人进山后让周河赵石先探旧路自己和两名修士落在后方遇险才出手,第六章,第七到八章在真正伤亡风险前进一步兑现散修利用凡人试路,未兑现
F019,冰溪雾里出现肩后插着旧铁箭的强大变异灰角鹿箭尾灰麻线由陈砺亲手缠过且它盯住陈砺,第六章,第七章承接变异灰角鹿正面冲突和陈砺体内光意牵引,未兑现
